sale_date,product_id,customer_id,quantity,sales_amount
2024-09-01,PR001,C001,2,50.00
2024-09-01,PR002,C002,1,120.00
2024-09-01,PR002,C002,2,240.00
2024-09-02,PR003,C003,1,250.00
2024-09-02,PR004,C004,3,240.00
2024-09-03,PR005,C006,0,0.00
2024-09-03,PR006,C008,1,450.00
2024-09-04,PR007,C009,1,600.00
2024-09-04,PR008,,2,70.00
2024-09-05,PR009,C010,1,-95.00
2024-09-05,PR010,C011,2,360.00
2024-09-06,PR003,C012,2,500.00
2024-09-06,PR006,C013,1,450.00
2024-09-07,PR011,C014,4,260.00
2024-09-07,PR012,C015,1,35.00
2024-09-08,PR007,C001,2,1200.00
2024-09-08,PR002,C002,1,120.00
2024-09-09,PR004,C013,2,160.00
2024-09-10,PR010,C014,1,180.00
2024-09-10,PR001,C016,1,25.00
